State,District,Pollster,Sample,Type,Date,GOP,Dem,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap,DistrictName,
NJ,5,Monmouth University,432,LV,10/14/2014,48,43,A+,0.2,4,48.1,42.9,5.2,NJ05_2014,
AK,1,Public Policy Polling,1052,LV,11/2/2014,47,41,B,0.26406832,3,47.13203416,40.86796584,6.26406832,AK01_2014,
AK,1,Ivan Moore Research,544,LV,10/26/2014,44,43,C,1.3474286,2,44.6737143,42.3262857,2.3474286,AK01_2014,
AK,1,Public Policy Polling,880,LV,9/21/2014,48,33,B,0.26406832,3,48.13203416,32.86796584,15.26406832,AK01_2014,
IA,4,Loras College,280,LV,10/24/2014,51,39,B-,1.38,2.7,51.69,38.31,13.38,IA04_2014,
IA,4,Loras College,300,LV,9/2/2014,47,36,B-,1.38,2.7,47.69,35.31,12.38,IA04_2014,
MI,11,Mitchell Research & Communications,472,LV,10/15/2014,47,35,D-,0.870625,0.7,47.4353125,34.5646875,12.870625,MI11_2014,
MA,6,Emerson College,400,LV,10/29/2014,42,40,B+,-0.6,3.3,41.7,40.3,1.4,MA06_2014,
MA,6,Emerson College,400,LV,10/14/2014,43,40,B+,-0.6,3.3,42.7,40.3,2.4,MA06_2014,
MA,6,Emerson College,429,LV,9/29/2014,41,39,B+,-0.6,3.3,40.7,39.3,1.4,MA06_2014,
MA,6,MassINC Polling Group,400,LV,9/24/2014,39,47,A-,-0.43275,3.7,38.783625,47.216375,-8.43275,MA06_2014,
MA,6,Emerson College,500,LV,9/4/2014,36,44,B+,-0.6,3.3,35.7,44.3,-8.6,MA06_2014,
NY,18,Siena College,682,LV,10/27/2014,44,49,A,0.4,4,44.2,48.8,-4.6,NY18_2014,
NY,18,Siena College,590,LV,9/17/2014,42,50,A,0.4,4,42.2,49.8,-7.6,NY18_2014,
IA,2,Loras College,279,LV,10/24/2014,38,51,B-,1.38,2.7,38.69,50.31,-11.62,IA02_2014,
IA,2,Loras College,300,LV,9/5/2014,32,49,B-,1.38,2.7,32.69,48.31,-15.62,IA02_2014,
MI,7,SurveyUSA,545,LV,10/6/2014,41,50,A,0.2,4,41.1,49.9,-8.8,MI07_2014,
IL,17,We Ask America,953,LV,9/29/2014,41,50,C,-0.91666667,2,40.54166667,50.45833334,-9.91666667,IL17_2014,
MA,9,Emerson College,410,LV,10/29/2014,41,46,B+,-0.6,3.3,40.7,46.3,-5.6,MA09_2014,
MA,9,Emerson College,302,LV,10/19/2014,44,47,B+,-0.6,3.3,43.7,47.3,-3.6,MA09_2014,
MA,9,Emerson College,343,LV,10/7/2014,44,39,B+,-0.6,3.3,43.7,39.3,4.4,MA09_2014,
NY,24,Siena College,704,LV,10/24/2014,52,42,A,0.4,4,52.2,41.8,10.4,NY24_2014,
NY,24,Siena College,598,LV,9/18/2014,42,50,A,0.4,4,42.2,49.8,-7.6,NY24_2014,
NY,4,Siena College,628,LV,10/20/2014,42,52,A,0.4,4,42.2,51.8,-9.6,NY04_2014,
NY,4,Siena College,596,LV,9/15/2014,37,55,A,0.4,4,37.2,54.8,-17.6,NY04_2014,
MN,2,SurveyUSA,600,LV,10/16/2016,41,46,A,0.2,4,41.1,45.9,-4.8,MN02_2016,
NY,3,Siena College,613,LV,10/4/2016,34,50,A,0.4,4,34.2,49.8,-15.6,NY03_2016,
NH,1,University of New Hampshire,311,LV,10/30/2016,32,37,B,2.71688,3,33.35844,35.64156,-2.28312,NH01_2016,
NH,1,University of Massachusetts Amherst,380,LV,10/21/2016,37,41,B-,-0.4478125,2.7,36.77609375,41.22390625,-4.4478125,NH01_2016,
NH,2,University of New Hampshire,330,LV,10/30/2016,34,48,B,2.71688,3,35.35844,46.64156,-11.28312,NH02_2016,
NH,2,University of Massachusetts Amherst,382,LV,10/21/2016,42,53,B-,-0.4478125,2.7,41.77609375,53.22390625,-11.4478125,NH02_2016,
FL,13,University of North Florida,590,LV,10/11/2016,36,54,A-,0.47,3.7,36.235,53.765,-17.53,FL13_2016,
IA,1,Loras College,415,LV,11/3/2016,47,41,B-,1.38,2.7,47.69,40.31,7.38,IA01_2016,
IA,1,Loras College,368,LV,9/22/2016,45,38,B-,1.38,2.7,45.69,37.31,8.38,IA01_2016,
UT,4,Dan Jones & Associates,405,LV,8/8/2016,51,38,C+,1.0585246,2.3,51.5292623,37.4707377,14.0585246,UT04_2016,
UT,4,SurveyUSA,574,LV,6/8/2016,45,51,A,0.2,4,45.1,50.9,-5.8,UT04_2016,
MN,8,SurveyUSA,595,LV,10/19/2016,45,41,A,0.2,4,45.1,40.9,4.2,MN08_2016,
ME,2,University of New Hampshire,341,LV,10/25/2016,44,46,B,2.71688,3,45.35844,44.64156,0.71688,ME02_2016,
ME,2,SurveyUSA,387,LV,9/10/2016,50,45,A,0.2,4,50.1,44.9,5.2,ME02_2016,
NY,19,SurveyUSA,598,LV,10/30/2016,42,45,A,0.2,4,42.1,44.9,-2.8,NY19_2016,
NY,19,Siena College,643,LV,11/2/2016,38,34,A,0.4,4,38.2,33.8,4.4,NY19_2016,
IA,3,Loras College,417,LV,11/3/2016,44,39,B-,1.38,2.7,44.69,38.31,6.38,IA03_2016,
IA,3,Loras College,327,LV,9/22/2016,46,36,B-,1.38,2.7,46.69,35.31,11.38,IA03_2016,
MN,3,SurveyUSA,579,LV,10/16/2016,49,38,A,0.2,4,49.1,37.9,11.2,MN03_2016,
NY,1,Siena College,661,LV,10/4/2016,53,38,A,0.4,4,53.2,37.8,15.4,NY01_2016,
MT,1,Montana State University Billings,590,LV,10/10/2016,50,31,B+,0.55918919,3.3,50.2795946,30.72040541,19.55918919,MT01_2016,
IL,8,We Ask America,1010,LV,10/28/2012,45,55,C,-0.91666667,2,44.54166667,55.45833334,-10.91666667,IL08_2012,
IL,8,Chicago Tribune,600,LV,10/24/2012,40,50,C,0,2,40,50,-10,IL08_2012,
IL,8,We Ask America,1158,LV,10/9/2012,48,45,C,-0.91666667,2,47.54166667,45.45833334,2.08333333,IL08_2012,
IL,8,Public Policy Polling,508,LV,9/20/2012,38,52,B,0.26406832,3,38.13203416,51.86796584,-13.73593168,IL08_2012,
MD,6,Baltimore Sun,610,LV,10/25/2012,41,42,C,0,2,41,42,-1,MD06_2012,
IL,11,We Ask America,1303,LV,10/28/2012,50,50,C,-0.91666667,2,49.54166667,50.45833334,-0.91666667,IL11_2012,
IL,11,We Ask America,1253,LV,10/10/2012,46,44,C,-0.91666667,2,45.54166667,44.45833334,1.08333333,IL11_2012,
NY,24,Siena College,670,LV,11/2/2012,44,44,A,0.4,4,44.2,43.8,0.4,NY24_2012,
NY,24,Siena College,625,LV,9/10/2012,43,43,A,0.4,4,43.2,42.8,0.4,NY24_2012,
WA,1,SurveyUSA,610,LV,10/21/2012,44,47,A,0.2,4,44.1,46.9,-2.8,WA01_2012,
WA,1,SurveyUSA,593,LV,9/15/2012,46,42,A,0.2,4,46.1,41.9,4.2,WA01_2012,
WA,1,SurveyUSA,661,RV,5/30/2012,49,32,A,0.2,4,49.1,31.9,17.2,WA01_2012,
FL,22,Public Policy Polling,500,LV,10/16/2012,44,47,B,0.26406832,3,44.13203416,46.86796584,-2.73593168,FL22r_2012,
FL,22,Sunshine State News,750,LV,10/16/2012,47,47,C,0,2,47,47,0,FL22r_2012,
ME,2,Maine People's Resource Center,436,LV,11/3/2012,45.6,49.6,C,0.32945946,2,45.76472973,49.43527027,-3.67054054,ME02_2012,
ME,1,Maine People's Resource Center,469,LV,11/3/2012,34.2,61.5,C,0.32945946,2,34.36472973,61.33527027,-26.97054054,ME01_2012,
ME,2,Critical Insights,306,LV,10/31/2012,36,55,C,0.298,2,36.149,54.851,-18.702,ME02_2012,
ME,2,Pan Atlantic SMS Group,202,LV,9/28/2012,32,52,B+,0.91711111,3.3,32.45855556,51.54144445,-19.08288889,ME02_2012,
ME,2,Maine People's Resource Center,410,LV,9/17/2012,37.4,55.9,C,0.32945946,2,37.56472973,55.73527027,-18.17054054,ME02_2012,
ME,1,Maine People's Resource Center,444,LV,9/17/2012,32,60.1,C,0.32945946,2,32.16472973,59.93527027,-27.77054054,ME01_2012,
ME,2,Critical Insights,309,LV,9/16/2012,39,54,C,0.298,2,39.149,53.851,-14.702,ME02_2012,
ME,2,Maine People's Resource Center,471,LV,4/2/2012,37,53,C,0.32945946,2,37.16472973,52.83527027,-15.67054054,ME02_2012,
NY,25,Siena College,624,LV,10/30/2012,42,52,A,0.4,4,42.2,51.8,-9.6,NY25_2012,
NY,25,Siena College,800,LV,10/11/2012,44,49,A,0.4,4,44.2,48.8,-4.6,NY25_2012,
NY,25,Siena College,634,LV,9/26/2012,42,52,A,0.4,4,42.2,51.8,-9.6,NY25_2012,
NH,2,University of New Hampshire,423,LV,11/4/2012,43,53,B,2.71688,3,44.35844,51.64156,-7.28312,NH02_2012,
NH,2,New England College,511,LV,10/31/2012,41,47,B,-0.618,3,40.691,47.309,-6.618,NH02_2012,
NH,2,University of New Hampshire,211,LV,10/6/2012,35,38,B,2.71688,3,36.35844,36.64156,-0.28312,NH02_2012,
NH,2,University of New Hampshire,325,LV,9/30/2012,41,42,B,2.71688,3,42.35844,40.64156,1.71688,NH02_2012,
NH,2,University of New Hampshire,284,LV,8/12/2012,42,37,B,2.71688,3,43.35844,35.64156,7.71688,NH02_2012,
NH,2,Public Policy Polling,642,LV,5/13/2012,42,42,B,0.26406832,3,42.13203416,41.86796584,0.26406832,NH02_2012,
NH,2,University of New Hampshire,251,LV,4/20/2012,39,40,B,2.71688,3,40.35844,38.64156,1.71688,NH02_2012,
NH,2,Public Policy Polling,363,LV,7/5/2012,43,42,B,0.26406832,3,43.13203416,41.86796584,1.26406832,NH02_2012,
RI,1,Fleming & Associates,300,LV,10/27/2012,42,43,B+,-0.29023256,3.3,41.85488372,43.14511628,-1.29023256,RI01_2012,
RI,1,Brown University,236,LV,10/5/2012,40,46,C,-0.40756757,1.7,39.79621622,46.20378379,-6.40756757,RI01_2012,
RI,1,Fleming & Associates,250,LV,9/29/2012,38,44,B+,-0.29023256,3.3,37.85488372,44.14511628,-6.29023256,RI01_2012,
RI,1,Fleming & Associates,250,RV,2/23/2012,49,34,B+,-0.29023256,3.3,48.85488372,34.14511628,14.70976744,RI01_2012,
RI,1,Fleming & Associates,300,RV,5/15/2012,46,33,B+,-0.29023256,3.3,45.85488372,33.14511628,12.70976744,RI01_2012,
IL,12,We Ask America,1313,LV,10/28/2012,46,51,C,-0.91666667,2,45.54166667,51.45833334,-5.91666667,IL12_2012,
IL,12,We Ask America,1247,LV,10/10/2012,44,42,C,-0.91666667,2,43.54166667,42.45833334,1.08333333,IL12_2012,
MN,8,SurveyUSA,585,LV,11/3/2012,45,47,A,0.2,4,45.1,46.9,-1.8,MN08_2012,
MN,8,Star Tribune,1000,LV,10/16/2012,43,50,C+,1.4763415,2.3,43.73817075,49.26182925,-5.5236585,MN08_2012,
NV,4,SurveyUSA,648,LV,10/28/2012,47,42,A,0.2,4,47.1,41.9,5.2,NV04_2012,
NV,4,SurveyUSA,646,LV,9/19/2012,45,42,A,0.2,4,45.1,41.9,3.2,NV04_2012,
NY,27,Siena College,636,LV,11/1/2012,48,47,A,0.4,4,48.2,46.8,1.4,NY27_2012,
NY,27,Siena College,633,LV,10/4/2012,47,47,A,0.4,4,47.2,46.8,0.4,NY27_2012,
NY,27,Siena College,628,LV,8/14/2012,47,45,A,0.4,4,47.2,44.8,2.4,NY27_2012,
FL,18,Sunshine State News,752,LV,10/17/2012,49,48,C,0,2,49,48,1,FL18r_2012,
FL,18,Public Policy Polling,500,LV,10/16/2012,51,42,B,0.26406832,3,51.13203416,41.86796584,9.26406832,FL18r_2012,
IL,13,We Ask America,1360,LV,10/28/2012,50,45,C,-0.91666667,2,49.54166667,45.45833334,4.08333333,IL13_2012,
IL,13,We Ask America,1253,LV,10/9/2012,44,42,C,-0.91666667,2,43.54166667,42.45833334,1.08333333,IL13_2012,
MI,1,Public Policy Polling,866,LV,9/19/2012,42,44,B,0.26406832,3,42.13203416,43.86796584,-1.73593168,MI01_2012,
NY,1,Siena College,624,LV,9/10/2012,39,52,A,0.4,4,39.2,51.8,-12.6,NY01_2012,
CA,52,SurveyUSA,628,LV,10/30/2012,46,46,A,0.2,4,46.1,45.9,0.2,CA52_2012,
CA,52,U-T San Diego,374,LV,10/17/2012,47,38,C,0,2,47,38,9,CA52_2012,
IL,10,We Ask America,1257,LV,10/28/2012,54,46,C,-0.91666667,2,53.54166667,46.45833334,7.08333333,IL10_2012,
IL,10,We Ask America,1172,LV,10/9/2012,47,45,C,-0.91666667,2,46.54166667,45.45833334,1.08333333,IL10_2012,
IL,17,We Ask America,1325,LV,10/28/2012,52,48,C,-0.91666667,2,51.54166667,48.45833334,3.08333333,IL17_2012,
IL,17,We Ask America,1183,LV,10/9/2012,46,46,C,-0.91666667,2,45.54166667,46.45833334,-0.91666667,IL17_2012,
MI,11,Baydoun Consulting,392,LV,10/23/2012,47,39,C,-1.0291176,1.7,46.4854412,39.5145588,6.9708824,MI11_2012,
NH,1,University of New Hampshire,366,LV,11/4/2012,46,49,B,2.71688,3,47.35844,47.64156,-0.28312,NH01_2012,
NH,1,New England College,511,LV,10/31/2012,48,41,B,-0.618,3,47.691,41.309,6.382,NH01_2012,
NH,1,University of New Hampshire,364,LV,10/21/2012,41,38,B,2.71688,3,42.35844,36.64156,5.71688,NH01_2012,
NH,1,University of New Hampshire,200,LV,10/6/2012,45,35,B,2.71688,3,46.35844,33.64156,12.71688,NH01_2012,
NH,1,University of New Hampshire,273,LV,9/30/2012,38,47,B,2.71688,3,39.35844,45.64156,-6.28312,NH01_2012,
NH,1,University of New Hampshire,258,LV,8/12/2012,43,45,B,2.71688,3,44.35844,43.64156,0.71688,NH01_2012,
NH,1,Public Policy Polling,502,LV,5/13/2012,43,47,B,0.26406832,3,43.13203416,46.86796584,-3.73593168,NH01_2012,
NH,1,University of New Hampshire,230,LV,4/20/2012,39,44,B,2.71688,3,40.35844,42.64156,-2.28312,NH01_2012,
NH,1,Public Policy Polling,299,LV,7/5/2012,48,41,B,0.26406832,3,48.13203416,40.86796584,7.26406832,NH01_2012,
NY,21,Siena College,629,LV,10/30/2012,43,44,A,0.4,4,43.2,43.8,-0.6,NY21_2012,
NY,21,Siena College,638,LV,9/6/2012,36,49,A,0.4,4,36.2,48.8,-12.6,NY21_2012,
UT,4,Mason-Dixon Polling & Research Inc.,625,LV,10/31/2012,52,40,B+,-0.7202799,3.3,51.63986005,40.36013995,11.2797201,UT04_2012,
UT,4,Deseret News/KSL,414,RV,9/29/2012,49,43,C,0,2,49,43,6,UT04_2012,
UT,4,Deseret News/KSL,379,RV,6/21/2012,38,53,C,0,2,38,53,-15,UT04_2012,
UT,4,Mason-Dixon Polling & Research Inc.,625,RV,4/11/2012,42,45,B+,-0.7202799,3.3,41.63986005,45.36013995,-3.7202799,UT04_2012,
UT,4,Deseret News/KSL,341,RV,12/21/2012,36,53,C,0,2,36,53,-17,UT04_2012,
MA,6,Boston Globe,371,LV,9/27/2012,37,31,C,0,2,37,31,6,MA06_2012,
NJ,3,Richard Stockton College,614,LV,10/2/2012,49,39,C,0,2,49,39,10,NJ03_2012,
NY,19,Siena College,649,LV,10/28/2012,48,43,A,0.4,4,48.2,42.8,5.4,NY19_2012,
NY,19,Siena College,635,LV,9/18/2012,52,36,A,0.4,4,52.2,35.8,16.4,NY19_2012,
MN,6,Star Tribune,1000,LV,10/16/2012,51,45,C+,1.4763415,2.3,51.73817075,44.26182925,7.4763415,MN06_2012,
MN,6,SurveyUSA,598,LV,10/11/2012,50,41,A,0.2,4,50.1,40.9,9.2,MN06_2012,
NV,3,SurveyUSA,502,LV,10/23/2012,50,40,A,0.2,4,50.1,39.9,10.2,NV03_2012,
NE,2,Omaha World-Herald,352,LV,10/25/2012,47,43,C,0,2,47,43,4,NE02_2012,
NE,2,Omaha World-Herald,400,RV,9/20/2012,51,38,C,0,2,51,38,13,NE02_2012,
NY,18,Siena College,615,LV,10/17/2012,49,42,A,0.4,4,49.2,41.8,7.4,NY18_2012,
NY,18,Siena College,628,LV,9/16/2012,46,33,A,0.4,4,46.2,32.8,13.4,NY18_2012,
MT,1,Public Policy Polling,836,LV,11/3/2012,48,44,B,0.26406832,3,48.13203416,43.86796584,4.26406832,MT01_2012,
MT,1,Mason-Dixon Polling & Research Inc.,625,LV,10/31/2012,51,40,B+,-0.7202799,3.3,50.63986005,40.36013995,10.2797201,MT01_2012,
MT,1,Public Policy Polling,737,LV,10/10/2012,43,34,B,0.26406832,3,43.13203416,33.86796584,9.26406832,MT01_2012,
MT,1,Montana State University Billings,477,LV,9/30/2012,36,23,B+,0.55918919,3.3,36.2795946,22.72040541,13.55918919,MT01_2012,
MT,1,Mason-Dixon Polling & Research Inc.,625,LV,9/19/2012,46,38,B+,-0.7202799,3.3,45.63986005,38.36013995,7.2797201,MT01_2012,
MT,1,Public Policy Polling,656,LV,9/11/2012,40,37,B,0.26406832,3,40.13203416,36.86796584,3.26406832,MT01_2012,
MT,1,Public Policy Polling,934,RV,4/29/2012,33,27,B,0.26406832,3,33.13203416,26.86796584,6.26406832,MT01_2012,
MT,1,Public Policy Polling,819,RV,6/19/2012,35,27,B,0.26406832,3,35.13203416,26.86796584,8.26406832,MT01_2012,
ND,1,Mason-Dixon Polling & Research Inc.,625,LV,10/28/2012,50,40,B+,-0.7202799,3.3,49.63986005,40.36013995,9.2797201,ND01_2012,
ND,1,Forum/Essman,500,LV,10/15/2012,52,32,C,0,2,52,32,20,ND01_2012,
ND,1,Mason-Dixon Polling & Research Inc.,625,LV,10/5/2012,49,37,B+,-0.7202799,3.3,48.63986005,37.36013995,11.2797201,ND01_2012,
