State,District,Pollster,Sample,Type,Date,GOP,Dem
NH,2,New England College,660,LV,10/3/2014,38.1,50.1
NH,1,New England College,629,LV,9/26/2014,50.8,40.5
NH,2,New England College,702,LV,9/26/2014,39,50.1
NH,1,New England College,715,LV,9/20/2014,45.2,45.2
NH,2,New England College,779,LV,9/20/2014,38.1,48.9
NY,11,Siena College,713,LV,10/28/2014,53,34
NY,11,Siena College,585,LV,9/14/2014,44,40
AR,2,Hendrix College,605,LV,10/16/2014,42,46
AR,2,Hendrix College,483,LV,7/25/2014,44,43
IL,11,We Ask America,918,LV,9/30/2014,44,47
IA,3,Loras College,280,LV,10/24/2014,46,44
IA,3,Loras College,300,LV,9/5/2014,34,40
FL,26,Saint Leo University,400,LV,10/6/2014,46,42
MN,8,SurveyUSA,555,LV,10/12/2014,47,39
AR,4,Hendrix College,607,LV,10/16/2014,44,42
AR,4,Hendrix College,439,LV,7/25/2014,48,34
CA,52,SurveyUSA,551,LV,10/30/2014,45,44
CA,52,SurveyUSA,608,LV,10/20/2014,46,45
CA,52,SurveyUSA,542,LV,10/6/2014,48,45
CA,52,SurveyUSA,559,LV,9/15/2014,46,47
CA,52,SurveyUSA,554,LV,6/12/2014,51,44
IL,13,We Ask America,932,LV,10/1/2014,51,38
NY,21,Siena College,670,LV,10/22/2014,50,32
NY,21,Harper Polling,674,LV,9/29/2014,45,37
NY,21,Siena College,591,LV,9/9/2014,46,33
CA,21,SurveyUSA,554,LV,10/20/2014,47,42
CA,21,SurveyUSA,439,LV,9/8/2014,56,37
NJ,3,Richard Stockton College,617,LV,10/28/2014,46,41
NJ,3,Monmouth University,423,LV,10/13/2014,51,41
NJ,3,Richard Stockton College,606,LV,9/14/2014,42,42
MT,1,Montana State University Billings,410,LV,10/11/2014,40,33
NY,19,Siena College,727,LV,10/24/2014,58,35
NY,19,Siena College,609,LV,9/9/2014,57,33
NJ,5,Monmouth University,427,LV,10/29/2014,53,42
NJ,5,Monmouth University,432,LV,10/14/2014,48,43
AK,1,Public Policy Polling,1052,LV,11/2/2014,47,41
AK,1,Ivan Moore Research,544,LV,10/26/2014,44,43
AK,1,Public Policy Polling,880,LV,9/21/2014,48,33
IA,4,Loras College,280,LV,10/24/2014,51,39
IA,4,Loras College,300,LV,9/2/2014,47,36
MI,11,Mitchell Research & Communications,472,LV,10/15/2014,47,35
MA,6,Emerson College,400,LV,10/29/2014,42,40
MA,6,Emerson College,400,LV,10/14/2014,43,40
MA,6,Emerson College,429,LV,9/29/2014,41,39
MA,6,MassINC Polling Group,400,LV,9/24/2014,39,47
MA,6,Emerson College,500,LV,9/4/2014,36,44
NY,18,Siena College,682,LV,10/27/2014,44,49
NY,18,Siena College,590,LV,9/17/2014,42,50
IA,2,Loras College,279,LV,10/24/2014,38,51
IA,2,Loras College,300,LV,9/5/2014,32,49
MI,7,SurveyUSA,545,LV,10/6/2014,41,50
IL,17,We Ask America,953,LV,9/29/2014,41,50
MA,9,Emerson College,410,LV,10/29/2014,41,46
MA,9,Emerson College,302,LV,10/19/2014,44,47
MA,9,Emerson College,343,LV,10/7/2014,44,39
NY,24,Siena College,704,LV,10/24/2014,52,42
NY,24,Siena College,598,LV,9/18/2014,42,50
NY,4,Siena College,628,LV,10/20/2014,42,52
NY,4,Siena College,596,LV,9/15/2014,37,55
MN,2,SurveyUSA,600,LV,10/16/2016,41,46
NY,3,Siena College,613,LV,10/4/2016,34,50
NH,1,University of New Hampshire,311,LV,10/30/2016,32,37
NH,1,University of Massachusetts Amherst,380,LV,10/21/2016,37,41
FL,13,University of North Florida,590,LV,10/11/2016,36,54
IA,1,Loras College,415,LV,11/3/2016,47,41
IA,1,Loras College,368,LV,9/22/2016,45,38
UT,4,Dan Jones & Associates,405,LV,8/8/2016,51,38
UT,4,SurveyUSA,574,LV,6/8/2016,45,51
MN,8,SurveyUSA,595,LV,10/19/2016,45,41
ME,2,University of New Hampshire,341,LV,10/25/2016,44,46
ME,2,SurveyUSA,387,LV,9/10/2016,50,45
NY,19,SurveyUSA,598,LV,10/30/2016,42,45
IA,3,Loras College,417,LV,11/3/2016,44,39
IA,3,Loras College,327,LV,9/22/2016,46,36
MN,3,SurveyUSA,579,LV,10/16/2016,49,38
NY,1,Siena College,661,LV,10/4/2016,53,38
MT,1,Montana State University Billings,590,LV,10/10/2016,50,31
IL,8,We Ask America,1010,LV,10/28/2012,45,55
IL,8,Chicago Tribune,600,LV,10/24/2012,40,50
IL,8,We Ask America,1158,LV,10/9/2012,48,45
IL,8,Public Policy Polling,508,LV,9/20/2012,38,52
MD,6,Baltimore Sun,610,LV,10/25/2012,41,42
IL,11,We Ask America,1303,LV,10/28/2012,50,50
IL,11,We Ask America,1253,LV,10/10/2012,46,44
NY,24,Siena College,670,LV,11/2/2012,44,44
NY,24,Siena College,625,LV,9/10/2012,43,43
WA,1,SurveyUSA,610,LV,10/21/2012,44,47
WA,1,SurveyUSA,593,LV,9/15/2012,46,42
WA,1,SurveyUSA,661,RV,5/30/2012,49,32
FL,22,Public Policy Polling,500,LV,10/16/2012,44,47
FL,22,Sunshine State News,750,LV,10/16/2012,47,47
ME,2,Maine People's Resource Center,436,LV,11/3/2012,45.6,49.6
ME,1,Maine People's Resource Center,469,LV,11/3/2012,34.2,61.5
ME,2,Critical Insights,306,LV,10/31/2012,36,55
ME,2,Pan Atlantic SMS Group,202,LV,9/28/2012,32,52
ME,2,Maine People's Resource Center,410,LV,9/17/2012,37.4,55.9
ME,1,Maine People's Resource Center,444,LV,9/17/2012,32,60.1
ME,2,Critical Insights,309,LV,9/16/2012,39,54
ME,2,Maine People's Resource Center,471,LV,4/2/2012,37,53
NY,25,Siena College,624,LV,10/30/2012,42,52
NY,25,Siena College,800,LV,10/11/2012,44,49
NY,25,Siena College,634,LV,9/26/2012,42,52
NH,2,University of New Hampshire,423,LV,11/4/2012,43,53
NH,2,New England College,511,LV,10/31/2012,41,47
NH,2,University of New Hampshire,211,LV,10/6/2012,35,38
NH,2,University of New Hampshire,325,LV,9/30/2012,41,42
NH,2,University of New Hampshire,284,LV,8/12/2012,42,37
NH,2,Public Policy Polling,642,LV,5/13/2012,42,42
NH,2,University of New Hampshire,251,LV,4/20/2012,39,40
NH,2,Public Policy Polling,363,LV,7/5/2012,43,42
RI,1,Fleming & Associates,300,LV,10/27/2012,42,43
RI,1,Brown University,236,LV,10/5/2012,40,46
RI,1,Fleming & Associates,250,LV,9/29/2012,38,44
RI,1,Fleming & Associates,250,RV,2/23/2012,49,34
RI,1,Fleming & Associates,300,RV,5/15/2012,46,33
IL,12,We Ask America,1313,LV,10/28/2012,46,51
IL,12,We Ask America,1247,LV,10/10/2012,44,42
MN,8,SurveyUSA,585,LV,11/3/2012,45,47
MN,8,Star Tribune,1000,LV,10/16/2012,43,50
NV,4,SurveyUSA,648,LV,10/28/2012,47,42
NV,4,SurveyUSA,646,LV,9/19/2012,45,42
NY,27,Siena College,636,LV,11/1/2012,48,47
NY,27,Siena College,633,LV,10/4/2012,47,47
NY,27,Siena College,628,LV,8/14/2012,47,45
FL,18,Sunshine State News,752,LV,10/17/2012,49,48
FL,18,Public Policy Polling,500,LV,10/16/2012,51,42
IL,13,We Ask America,1360,LV,10/28/2012,50,45
IL,13,We Ask America,1253,LV,10/9/2012,44,42
MI,1,Public Policy Polling,866,LV,9/19/2012,42,44
NY,1,Siena College,624,LV,9/10/2012,39,52
CA,52,SurveyUSA,628,LV,10/30/2012,46,46
CA,52,U-T San Diego,374,LV,10/17/2012,47,38
IL,10,We Ask America,1257,LV,10/28/2012,54,46
IL,10,We Ask America,1172,LV,10/9/2012,47,45
IL,17,We Ask America,1325,LV,10/28/2012,52,48
IL,17,We Ask America,1183,LV,10/9/2012,46,46
MI,11,Baydoun Consulting,392,LV,10/23/2012,47,39
NH,1,University of New Hampshire,366,LV,11/4/2012,46,49
NH,1,New England College,511,LV,10/31/2012,48,41
NH,1,University of New Hampshire,364,LV,10/21/2012,41,38
NH,1,University of New Hampshire,200,LV,10/6/2012,45,35
NH,1,University of New Hampshire,273,LV,9/30/2012,38,47
NH,1,University of New Hampshire,258,LV,8/12/2012,43,45
NH,1,Public Policy Polling,502,LV,5/13/2012,43,47
NH,1,University of New Hampshire,230,LV,4/20/2012,39,44
NH,1,Public Policy Polling,299,LV,7/5/2012,48,41
NY,21,Siena College,629,LV,10/30/2012,43,44
NY,21,Siena College,638,LV,9/6/2012,36,49
UT,4,Mason-Dixon Polling & Research Inc.,625,LV,10/31/2012,52,40
UT,4,Deseret News/KSL,414,RV,9/29/2012,49,43
UT,4,Deseret News/KSL,379,RV,6/21/2012,38,53
UT,4,Mason-Dixon Polling & Research Inc.,625,RV,4/11/2012,42,45
UT,4,Deseret News/KSL,341,RV,12/21/2012,36,53
MA,6,Boston Globe,371,LV,9/27/2012,37,31
NJ,3,Richard Stockton College,614,LV,10/2/2012,49,39
NY,19,Siena College,649,LV,10/28/2012,48,43
NJ,19,Siena College,635,LV,9/18/2012,52,36
MN,6,Star Tribune,1000,LV,10/16/2012,51,45
MN,6,SurveyUSA,598,LV,10/11/2012,50,41
NV,3,SurveyUSA,502,LV,10/23/2012,50,40
NE,2,Omaha World-Herald,352,LV,10/25/2012,47,43
NE,2,Omaha World-Herald,400,RV,9/20/2012,51,38
NY,18,Siena College,615,LV,10/17/2012,49,42
NY,18,Siena College,628,LV,9/16/2012,46,33
MT,1,Public Policy Polling,836,LV,11/3/2012,48,44
MT,1,Mason-Dixon Polling & Research Inc.,625,LV,10/31/2012,51,40
MT,1,Public Policy Polling,737,LV,10/10/2012,43,34
MT,1,Montana State University Billings,477,LV,9/30/2012,36,23
MT,1,Mason-Dixon Polling & Research Inc.,625,LV,9/19/2012,46,38
MT,1,Public Policy Polling,656,LV,9/11/2012,40,37
MT,1,Public Policy Polling,934,RV,4/29/2012,33,27
MT,1,Public Policy Polling,819,RV,6/19/2012,35,27
ND,1,Mason-Dixon Polling & Research Inc.,625,LV,10/28/2012,50,40
ND,1,Forum/Essman,500,LV,10/15/2012,52,32
ND,1,Mason-Dixon Polling & Research Inc.,625,LV,10/5/2012,49,37
ND,1,Mason-Dixon Polling & Research Inc.,625,LV,6/6/2012,49,35
OK,2,SoonerPoll.com,300,LV,10/31/2012,45,33
VA,2,Christopher Newport University,766,LV,10/8/2012,44,32
MI,3,Glengariff Group Inc.,400,LV,10/18/2012,34,35
NY,11,Siena College,627,LV,10/28/2012,52,34
NY,11,Siena College,621,LV,9/23/2012,48,38
AR,4,Talk Business Poll,518,LV,10/14/2010,34,52
AR,4,Talk Business Poll,956,LV,8/26/2010,31,49
CT,1,Marketing Resource Group (MRG),423,LV,10/26/2010,38,56
CT,1,Marketing Resource Group (MRG),515,LV,10/5/2010,45,52
PA,17,Susquehanna Polling & Research Inc.,1070,LV,10/20/2010,28,58
CT,2,Marketing Resource Group (MRG),397,LV,10/26/2010,38,57
CT,2,Marketing Resource Group (MRG),545,LV,10/5/2010,41,55
NJ,6,Monmouth University,647,LV,10/25/2010,45,52
NJ,6,Monmouth University,643,LV,10/5/2010,41,53
OR,1,Elway Research,400,LV,10/21/2010,38,51
OR,1,SurveyUSA,602,LV,10/18/2010,42,51
CA,18,SurveyUSA,612,LV,10/6/2010,44,50
IA,1,Voter/Consumer Research,300,RV,9/3/2010,39,50
IL,8,We Ask America,773,LV,10/31/2010,49,46
IL,8,We Ask America,1381,RV,9/28/2010,41,41
MA,4,University of New Hampshire,385,LV,10/22/2010,33,46
MA,4,Fleming & Associates,400,LV,10/17/2010,37,49
MO,3,AAF/Ayers,400,LV,8/20/2010,38,54
MO,3,We Ask America,1089,RV,8/17/2010,39,48
OR,4,Wilson Research Strategies,300,LV,10/5/2010,42,48
WV,3,AAF/Ayers,400,LV,8/1/2010,37,53
CA,47,AAF/Ayers,400,LV,8/29/2010,43,45
IA,2,Voter/Consumer Research,300,RV,9/3/2010,39,47
KY,3,SurveyUSA,588,LV,10/25/2010,46,50
KY,3,Braun Research,504,LV,10/19/2010,31,58
KY,3,Braun Research,500,LV,9/21/2010,30,53
KY,3,SurveyUSA,541,LV,8/30/2010,45,47
KY,3,Braun Research,502,LV,8/10/2010,29,52
MI,15,EPIC-MRA,400,LV,10/19/2010,36,53
MI,15,Rossman Group,300,LV,10/4/2010,44,40
MI,15,Detroit News,400,LV,9/16/2010,30,49
NJ,12,Monmouth University,1042,LV,10/27/2010,43,51
NJ,12,Monmouth University,630,LV,10/12/2010,46,51
NY,25,Siena College,623,LV,10/12/2010,39,51
NY,25,AAF/Ayers,400,LV,8/1/2010,41,44
PA,4,Susquehanna Polling & Research Inc.,400,LV,10/17/2010,35,47
DE,1,Monmouth University,1171,LV,10/27/2010,44,51
DE,1,Fairleigh Dickinson University (PublicMind),797,LV,10/26/2010,36,53
DE,1,Monmouth University,790,LV,10/11/2010,44,53
DE,1,Fairleigh Dickinson University (PublicMind),801,LV,10/3/2010,36,51
DE,1,Public Policy Polling,958,LV,9/12/2010,37,48
DE,1,Public Policy Polling,620,RV,8/8/2010,30,48
IA,3,Penn Schoen Berland,404,LV,10/21/2010,37,49
IA,3,Voter/Consumer Research,300,RV,9/3/2010,39,48
IA,3,AAF/Ayers,400,LV,8/18/2010,51,41
LA,2,Public Policy Polling,605,LV,10/3/2010,38,49
MN,1,SurveyUSA,558,LV,10/26/2010,41,50
MN,1,SurveyUSA,584,LV,10/14/2010,42,47
NM,3,Public Policy Polling,540,LV,9/26/2010,43,49
NM,3,Public Policy Polling,400,LV,2/20/2010,36,42
UT,2,Deseret News/KSL,456,LV,10/28/2010,39,51
UT,2,Mason-Dixon Polling & Research Inc.,400,LV,10/27/2010,35,48
UT,2,Deseret News/KSL,226,LV,10/14/2010,31,57
UT,2,Utah Policy Center/Western Wats,200,RV,10/3/2010,30,46
CT,5,Marketing Resource Group (MRG),911,LV,10/31/2010,52,44
CT,5,Marketing Resource Group (MRG),595,LV,10/26/2010,47,46
CT,5,Marketing Resource Group (MRG),481,LV,10/5/2010,50,44
IL,10,We Ask America,861,LV,10/31/2010,55,46
IL,10,We Ask America,1148,LV,10/15/2010,50,39
IL,10,Penn Schoen Berland,405,LV,10/7/2010,37,49
IL,10,We Ask America,1015,RV,8/4/2010,40,43
MA,10,University of New Hampshire,349,LV,10/22/2010,33,37
MA,10,MassINC Polling Group,400,LV,10/15/2010,43,46
MI,7,EPIC-MRA,400,LV,10/17/2010,39,45
MI,7,Penn Schoen Berland,404,LV,9/27/2010,41,41
MI,7,Rossman Group,300,LV,9/20/2010,42,38
MI,7,We Ask America,1008,RV,8/4/2010,45,37
MO,4,Missouri State University,159,LV,10/27/2010,39,46
MO,4,Missouri State University,187,RV,8/22/2010,35,47
MO,4,We Ask America,1207,RV,8/17/2010,42,45
NC,7,SurveyUSA,450,RV,9/26/2010,46,45
NM,1,Albuquerque Journal,400,LV,10/28/2010,49,46
NM,1,Albuquerque Journal,403,LV,9/30/2010,41,48
NM,1,Public Policy Polling,540,LV,9/26/2010,43,50
NM,1,Albuquerque Journal,402,LV,8/27/2010,41,47
NM,1,SurveyUSA,559,LV,7/25/2010,51,45
NM,1,Public Policy Polling,400,LV,2/20/2010,36,45
NY,19,Siena College,651,LV,10/26/2010,46,47
NY,19,Monmouth University,636,LV,10/18/2010,48,49
NY,19,Penn Schoen Berland,416,LV,10/14/2010,43,43
NY,19,Siena College,610,LV,10/10/2010,46,43
NY,19,Iona College,800,RV,10/6/2010,42,42
NY,19,Public Policy Polling,,LV,9/12/2010,44,42
OR,5,Elway Research,400,LV,10/21/2010,38,50
OR,5,SurveyUSA,601,LV,10/19/2010,51,41
PA,7,Franklin & Marshall College,400,LV,10/11/2010,34,31
PA,7,Penn Schoen Berland,405,LV,10/7/2010,40,39
PA,7,Monmouth University,670,LV,10/6/2010,49,45
VA,9,SurveyUSA,608,LV,10/25/2010,47,46
VA,9,SurveyUSA,633,LV,10/13/2010,41,51
VA,9,SurveyUSA,628,LV,9/29/2010,38,53
VA,9,SurveyUSA,576,LV,9/2/2010,40,50
VA,9,SurveyUSA,579,LV,7/20/2010,39,52
WA,9,SurveyUSA,590,LV,10/25/2010,46,49
WA,9,SurveyUSA,586,LV,9/16/2010,46,49
AZ,7,Magellan Strategies,686,LV,9/29/2010,38,40
HI,1,Marketing Resource Group (MRG),620,LV,10/23/2010,45,50
HI,1,Ward Research (Honolulu Star-Advertiser),399,LV,10/19/2010,48,45
HI,1,Penn Schoen Berland,406,LV,10/7/2010,45,41
HI,1,Public Policy Polling,643,LV,10/3/2010,47,48
IN,2,EPIC-MRA,400,LV,10/22/2010,43,48
IN,2,EPIC-MRA,400,LV,10/3/2010,39,48
ME,1,Critical Insights,295,LV,10/28/2010,45,41
ME,1,Critical Insights,295,LV,10/17/2010,40,45
ME,1,Pan Atlantic SMS Group,250,LV,10/15/2010,32.6,49
ME,2,Pan Atlantic SMS Group,250,LV,10/15/2010,29.3,48.8
ME,1,Critical Insights,305,LV,10/11/2010,33,48
ME,1,PineTreePolitics/MECPO,346,LV,10/7/2010,38,46
ME,1,Critical Insights,187,LV,9/27/2010,26,54
ME,1,Critical Insights,316,LV,9/13/2010,29,53
ME,1,Public Policy Polling,790,LV,9/6/2010,38,47
MI,9,EPIC-MRA,400,LV,10/17/2010,43,48
MI,9,Rossman Group,300,LV,9/13/2010,45,41
NC,8,SurveyUSA,450,RV,10/3/2010,45,46
NC,8,Public Policy Polling,744,LV,1/11/2010,39,53
NY,1,Siena College,615,LV,10/11/2010,39,51
NY,1,SurveyUSA,600,LV,1/18/2010,45,47
NY,24,Siena College,632,LV,10/25/2010,43,48
NY,24,Penn Schoen Berland,400,LV,10/14/2010,37,47
NY,24,Siena College,605,LV,9/15/2010,40,48
PA,11,Critical Insights,400,LV,10/25/2010,39,47
PA,11,Penn Schoen Berland,402,LV,10/21/2010,48,43
PA,11,Critical Insights,400,LV,10/11/2010,43,41
PA,11,Franklin & Marshall College,414,LV,10/10/2010,47,40
PA,11,Critical Insights,221,LV,9/23/2010,43,32
PA,8,Monmouth University,646,LV,10/13/2010,51,46
PA,8,Penn Schoen Berland,398,LV,10/12/2010,43,46
PA,8,Franklin & Marshall College,379,LV,9/19/2010,49,35
WA,2,SurveyUSA,643,LV,10/21/2010,46,50
WA,2,SurveyUSA,576,LV,9/28/2010,47,50
WA,2,SurveyUSA,612,LV,9/2/2010,50,46
CT,4,Marketing Resource Group (MRG),571,LV,10/26/2010,48,46
CT,4,Marketing Resource Group (MRG),411,LV,10/5/2010,47,49
CT,4,Marketing Resource Group (MRG),400,LV,8/1/2010,42,46
ID,1,Mason-Dixon Polling & Research Inc.,400,LV,10/22/2010,41,44
ID,1,Mason-Dixon Polling & Research Inc.,400,LV,9/15/2010,36,46
KY,6,Mason-Dixon Polling & Research Inc.,500,LV,10/19/2010,44,48
KY,6,Braun Research,508,LV,9/22/2010,37,51
KY,6,Braun Research,503,LV,7/27/2010,32,46
ME,2,Critical Insights,326,LV,10/28/2010,40,44
ME,2,Critical Insights,305,LV,10/17/2010,30,49
ME,2,Critical Insights,300,LV,10/11/2010,30,43
ME,2,Critical Insights,218,LV,9/27/2010,32,44
ME,2,Critical Insights,287,LV,9/13/2010,28,48
ME,2,Public Policy Polling,678,LV,9/6/2010,38,45
MN,8,SurveyUSA,665,LV,10/28/2010,46,47
NH,2,University of New Hampshire,451,LV,10/31/2010,40,43
NH,2,University of New Hampshire,363,LV,10/12/2010,36,43
NH,2,Penn Schoen Berland,407,LV,10/7/2010,45,42
NH,2,University of New Hampshire,220,LV,9/29/2010,43,38
NH,2,American Research Group,400,LV,9/26/2010,38,36
NH,2,University of New Hampshire,231,LV,4/21/2010,42,30
NH,2,University of New Hampshire,174,LV,2/3/2010,39,28
NH,2,University of New Hampshire,197,LV,7/27/2010,47,29
PA,12,Susquehanna Polling & Research Inc.,400,LV,10/10/2010,36,43
RI,1,Quest Research,486,LV,10/25/2010,40,42
RI,1,Fleming & Associates,250,LV,10/25/2010,42,48
RI,1,Quest Research,405,LV,10/6/2010,36,47
RI,1,Brown University,289,RV,9/29/2010,21,39
RI,1,Fleming & Associates,250,LV,9/26/2010,29,48
RI,1,Quest Research,402,LV,9/17/2010,26,49
WA,3,SurveyUSA,640,LV,10/26/2010,50,46
WA,3,SurveyUSA,579,LV,10/12/2010,53,42
WA,3,Penn Schoen Berland,400,LV,10/7/2010,42,40
WA,3,SurveyUSA,552,LV,9/14/2010,52,43
WA,3,SurveyUSA,562,LV,8/24/2010,54,41
WV,1,Penn Schoen Berland,405,LV,10/7/2010,39,42
AR,1,Talk Business Poll,436,LV,10/14/2010,42,34
AR,1,Penn Schoen Berland,409,LV,10/7/2010,46,34
AR,1,Talk Business Poll,630,LV,8/17/2010,48,32
AZ,5,Penn Schoen Berland,408,LV,10/14/2010,45,42
CA,20,SurveyUSA,601,LV,10/24/2010,52,42
CA,20,SurveyUSA,561,LV,9/12/2010,46,48
CO,4,Penn Schoen Berland,391,LV,9/27/2010,44,41
GA,2,Landmark Communications,914,LV,10/26/2010,50,46
GA,2,Landmark Communications,836,LV,10/19/2010,47,45
IL,17,We Ask America,1103,LV,10/31/2010,52,44
IL,17,Penn Schoen Berland,417,LV,10/14/2010,45,38
IL,17,We Ask America,1250,RV,9/8/2010,41,38
MD,1,Baltimore Sun,520,LV,10/20/2010,40,40
MD,1,Monmouth University,637,LV,10/19/2010,53,42
MD,1,Penn Schoen Berland,400,LV,9/30/2010,43,40
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,10/19/2010,52,42
ND,1,Penn Schoen Berland,398,LV,10/19/2010,44,45
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,9/21/2010,48,45
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,8/11/2010,53,44
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,7/21/2010,49,46
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,6/15/2010,51,44
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,5/19/2010,52,43
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,4/20/2010,49,45
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,3/24/2010,51,44
ND,1,Rasmussen Reports/Pulse Opinion Research,500,LV,2/10/2010,46,40
NM,2,Albuquerque Journal,402,LV,10/28/2010,48,45
NM,2,Penn Schoen Berland,401,LV,9/30/2010,46,42
NM,2,Albuquerque Journal,402,LV,9/30/2010,45,44
NM,2,Public Policy Polling,540,LV,9/26/2010,48,47
NM,2,Albuquerque Journal,404,LV,8/27/2010,42,45
NM,2,Public Policy Polling,400,LV,2/20/2010,43,41
NY,23,Siena College,623,LV,10/26/2010,37,40
NY,23,Siena College,607,LV,10/7/2010,42,31
PA,6,Monmouth University,642,LV,10/20/2010,54,44
WA,8,SurveyUSA,639,LV,10/20/2010,52,45
WA,8,Public Policy Polling,1036,LV,10/10/2010,49,46
WA,8,SurveyUSA,579,LV,9/29/2010,52,45
WA,8,SurveyUSA,657,LV,9/2/2010,54,41
NY,29,Siena College,613,LV,9/16/2010,44,30
PA,15,Morning Call,496,LV,10/13/2010,49,32
PA,15,Morning Call,496,LV,9/16/2010,49,38
PA,15,Morning Call,303,LV,4/27/2010,43,31
TX,17,Penn Schoen Berland,404,LV,10/21/2010,52,40
AR,2,Talk Business Poll,446,LV,10/14/2010,50,38
AR,2,Talk Business Poll,716,LV,8/17/2010,52,35
IL,11,We Ask America,829,LV,10/31/2010,55,45
IL,11,Penn Schoen Berland,401,LV,9/30/2010,49,31
IL,11,We Ask America,1015,RV,8/4/2010,52,32
MN,6,SurveyUSA,582,LV,9/15/2010,49,40
MN,6,SurveyUSA,565,LV,7/11/2010,48,39
OH,12,We Ask America,995,RV,8/4/2010,51,34
OH,15,Penn Schoen Berland,404,LV,9/30/2010,47,38
OH,15,We Ask America,998,RV,8/4/2010,46,41
TN,8,Penn Schoen Berland,416,LV,10/7/2010,47,37
AK,1,Ivan Moore Research,500,LV,10/19/2008,43,51
AK,1,Ivan Moore Research,500,LV,10/6/2008,42,51
AK,1,Ivan Moore Research,500,LV,9/22/2008,44,49
OH,16,SurveyUSA,635,LV,9/21/2008,41,48
TX,22,Zogby Interactive/JZ Analytics,404,LV,10/22/2008,53,36
IL,11,SurveyUSA,623,LV,10/21/2008,37,50
NM,1,Albuquerque Journal,403,RV,10/2/2008,41,43
NM,1,SurveyUSA,631,LV,8/28/2008,46,51
NJ,3,Monmouth University,430,LV,10/2/2008,44,41
NJ,3,Richard Stockton College,400,LV,9/20/2008,39,37
PA,11,Franklin & Marshall College,586,RV,10/12/2008,40,35
PA,11,Franklin & Marshall College,547,RV,9/14/2008,44,35
OH,15,SurveyUSA,632,LV,10/26/2008,41,47
OH,15,SurveyUSA,567,LV,8/4/2008,44,47
CO,4,SurveyUSA,618,LV,8/24/2008,43,50
NC,8,SurveyUSA,609,LV,10/5/2008,41,49
